 GRID IS READ
 METRIC IS CALCULATED
 INITIAL SOLUTION IS GENERATED
 HYDROSTATIC PRESSURE IS CALCULATED 
 CONVERGENCE HISTORY FILES ARE OPENED
     144 0.133E-02 0.714E-03 0.436E-03 0.000E+00
     145 0.132E-02 0.121E-02 0.409E-03 0.000E+00
     146 0.119E-02 0.784E-03 0.344E-03 0.000E+00
     147 0.126E-02 0.137E-02 0.226E-03 0.000E+00
     148 0.125E-02 0.875E-03 0.317E-03 0.000E+00
     149 0.125E-02 0.141E-02 0.220E-03 0.000E+00
     150 0.107E-02 0.968E-03 0.429E-03 0.000E+00
     151 0.974E-03 0.984E-03 0.312E-03 0.000E+00
     152 0.921E-03 0.755E-03 0.323E-03 0.000E+00
     153 0.698E-03 0.653E-03 0.236E-03 0.000E+00
     154 0.719E-03 0.533E-03 0.303E-03 0.000E+00
     155 0.556E-03 0.505E-03 0.293E-03 0.000E+00
     156 0.532E-03 0.351E-03 0.206E-03 0.000E+00
     157 0.570E-03 0.384E-03 0.157E-03 0.000E+00
     158 0.583E-03 0.252E-03 0.159E-03 0.000E+00
     159 0.583E-03 0.519E-03 0.243E-03 0.000E+00
     160 0.577E-03 0.335E-03 0.180E-03 0.000E+00
     161 0.580E-03 0.582E-03 0.254E-03 0.000E+00
     162 0.577E-03 0.375E-03 0.148E-03 0.000E+00
     163 0.553E-03 0.516E-03 0.290E-03 0.000E+00
     164 0.519E-03 0.346E-03 0.206E-03 0.000E+00
     165 0.467E-03 0.432E-03 0.398E-03 0.000E+00
     166 0.478E-03 0.339E-03 0.198E-03 0.000E+00
     167 0.409E-03 0.484E-03 0.203E-03 0.000E+00
     168 0.386E-03 0.351E-03 0.162E-03 0.000E+00
     169 0.297E-03 0.318E-03 0.131E-03 0.000E+00
     170 0.293E-03 0.215E-03 0.106E-03 0.000E+00
     171 0.220E-03 0.215E-03 0.963E-04 0.000E+00
     172 0.219E-03 0.159E-03 0.108E-03 0.000E+00
     173 0.235E-03 0.177E-03 0.105E-03 0.000E+00
     174 0.228E-03 0.114E-03 0.861E-04 0.000E+00
     175 0.250E-03 0.206E-03 0.593E-04 0.000E+00
     176 0.244E-03 0.135E-03 0.531E-04 0.000E+00
     177 0.247E-03 0.158E-03 0.702E-04 0.000E+00
     178 0.244E-03 0.105E-03 0.610E-04 0.000E+00
     179 0.242E-03 0.141E-03 0.103E-03 0.000E+00
     180 0.227E-03 0.922E-04 0.548E-04 0.000E+00
     181 0.227E-03 0.132E-03 0.452E-04 0.000E+00
     182 0.209E-03 0.849E-04 0.565E-04 0.000E+00
     183 0.209E-03 0.117E-03 0.453E-04 0.000E+00
     184 0.201E-03 0.781E-04 0.470E-04 0.000E+00
     185 0.179E-03 0.601E-04 0.379E-04 0.000E+00
     186 0.157E-03 0.552E-04 0.489E-04 0.000E+00
     187 0.108E-03 0.754E-04 0.683E-04 0.000E+00
     188 0.101E-03 0.664E-04 0.518E-04 0.000E+00
     189 0.983E-04 0.689E-04 0.321E-04 0.000E+00
     190 0.983E-04 0.509E-04 0.357E-04 0.000E+00
     191 0.100E-03 0.798E-04 0.399E-04 0.000E+00
     192 0.902E-04 0.516E-04 0.385E-04 0.000E+00
     193 0.937E-04 0.933E-04 0.661E-04 0.000E+00
     194 0.937E-04 0.611E-04 0.416E-04 0.000E+00
     195 0.937E-04 0.694E-04 0.776E-04 0.000E+00
     196 0.926E-04 0.446E-04 0.380E-04 0.000E+00
     197 0.868E-04 0.734E-04 0.464E-04 0.000E+00
     198 0.887E-04 0.525E-04 0.274E-04 0.000E+00
     199 0.868E-04 0.633E-04 0.210E-04 0.000E+00
     200 0.902E-04 0.421E-04 0.292E-04 0.000E+00
     201 0.801E-04 0.536E-04 0.254E-04 0.000E+00
