 GRID IS READ
 METRIC IS CALCULATED
 INITIAL SOLUTION IS GENERATED
 HYDROSTATIC PRESSURE IS CALCULATED 
 CONVERGENCE HISTORY FILES ARE OPENED
     155 0.375E+00 0.920E-01 0.629E-01 0.000E+00
     156 0.334E+00 0.106E+00 0.544E-01 0.000E+00
     157 0.389E+00 0.927E-01 0.625E-01 0.000E+00
     158 0.346E+00 0.106E+00 0.537E-01 0.000E+00
     159 0.407E+00 0.921E-01 0.622E-01 0.000E+00
     160 0.361E+00 0.106E+00 0.535E-01 0.000E+00
     161 0.417E+00 0.916E-01 0.613E-01 0.000E+00
     162 0.370E+00 0.105E+00 0.523E-01 0.000E+00
     163 0.420E+00 0.906E-01 0.607E-01 0.000E+00
     164 0.372E+00 0.104E+00 0.519E-01 0.000E+00
     165 0.421E+00 0.887E-01 0.606E-01 0.000E+00
     166 0.370E+00 0.102E+00 0.514E-01 0.000E+00
     167 0.421E+00 0.859E-01 0.600E-01 0.000E+00
     168 0.370E+00 0.998E-01 0.503E-01 0.000E+00
     169 0.413E+00 0.839E-01 0.589E-01 0.000E+00
     170 0.362E+00 0.975E-01 0.488E-01 0.000E+00
     171 0.399E+00 0.812E-01 0.572E-01 0.000E+00
     172 0.349E+00 0.939E-01 0.486E-01 0.000E+00
     173 0.385E+00 0.780E-01 0.550E-01 0.000E+00
     174 0.335E+00 0.895E-01 0.483E-01 0.000E+00
     175 0.368E+00 0.746E-01 0.536E-01 0.000E+00
     176 0.319E+00 0.850E-01 0.477E-01 0.000E+00
     177 0.345E+00 0.706E-01 0.529E-01 0.000E+00
     178 0.298E+00 0.804E-01 0.469E-01 0.000E+00
     179 0.318E+00 0.668E-01 0.513E-01 0.000E+00
     180 0.274E+00 0.756E-01 0.456E-01 0.000E+00
     181 0.292E+00 0.630E-01 0.497E-01 0.000E+00
     182 0.250E+00 0.705E-01 0.441E-01 0.000E+00
     183 0.265E+00 0.588E-01 0.477E-01 0.000E+00
     184 0.226E+00 0.652E-01 0.424E-01 0.000E+00
     185 0.238E+00 0.545E-01 0.452E-01 0.000E+00
     186 0.201E+00 0.601E-01 0.401E-01 0.000E+00
     187 0.208E+00 0.504E-01 0.427E-01 0.000E+00
     188 0.175E+00 0.550E-01 0.378E-01 0.000E+00
     189 0.183E+00 0.484E-01 0.400E-01 0.000E+00
     190 0.154E+00 0.500E-01 0.358E-01 0.000E+00
     191 0.170E+00 0.477E-01 0.387E-01 0.000E+00
     192 0.143E+00 0.471E-01 0.345E-01 0.000E+00
     193 0.158E+00 0.468E-01 0.373E-01 0.000E+00
     194 0.132E+00 0.467E-01 0.332E-01 0.000E+00
     195 0.143E+00 0.464E-01 0.356E-01 0.000E+00
     196 0.123E+00 0.462E-01 0.315E-01 0.000E+00
     197 0.130E+00 0.461E-01 0.338E-01 0.000E+00
     198 0.124E+00 0.457E-01 0.298E-01 0.000E+00
     199 0.126E+00 0.456E-01 0.318E-01 0.000E+00
     200 0.125E+00 0.456E-01 0.280E-01 0.000E+00
     201 0.126E+00 0.450E-01 0.301E-01 0.000E+00
     202 0.124E+00 0.459E-01 0.262E-01 0.000E+00
     203 0.126E+00 0.450E-01 0.300E-01 0.000E+00
     204 0.123E+00 0.480E-01 0.262E-01 0.000E+00
     205 0.125E+00 0.455E-01 0.299E-01 0.000E+00
     206 0.121E+00 0.514E-01 0.267E-01 0.000E+00
     207 0.123E+00 0.486E-01 0.297E-01 0.000E+00
     208 0.119E+00 0.538E-01 0.273E-01 0.000E+00
     209 0.119E+00 0.506E-01 0.299E-01 0.000E+00
     210 0.114E+00 0.556E-01 0.274E-01 0.000E+00
     211 0.113E+00 0.525E-01 0.301E-01 0.000E+00
     212 0.107E+00 0.584E-01 0.277E-01 0.000E+00
     213 0.104E+00 0.551E-01 0.303E-01 0.000E+00
     214 0.985E-01 0.602E-01 0.277E-01 0.000E+00
     215 0.961E-01 0.565E-01 0.306E-01 0.000E+00
     216 0.904E-01 0.610E-01 0.285E-01 0.000E+00
     217 0.867E-01 0.577E-01 0.307E-01 0.000E+00
     218 0.807E-01 0.630E-01 0.291E-01 0.000E+00
     219 0.887E-01 0.594E-01 0.306E-01 0.000E+00
     220 0.743E-01 0.636E-01 0.294E-01 0.000E+00
     221 0.893E-01 0.596E-01 0.320E-01 0.000E+00
     222 0.832E-01 0.626E-01 0.294E-01 0.000E+00
     223 0.917E-01 0.592E-01 0.330E-01 0.000E+00
     224 0.927E-01 0.633E-01 0.292E-01 0.000E+00
     225 0.999E-01 0.598E-01 0.335E-01 0.000E+00
     226 0.101E+00 0.627E-01 0.286E-01 0.000E+00
     227 0.107E+00 0.588E-01 0.335E-01 0.000E+00
     228 0.107E+00 0.604E-01 0.276E-01 0.000E+00
     229 0.112E+00 0.564E-01 0.331E-01 0.000E+00
     230 0.112E+00 0.592E-01 0.268E-01 0.000E+00
     231 0.116E+00 0.561E-01 0.323E-01 0.000E+00
     232 0.115E+00 0.576E-01 0.271E-01 0.000E+00
     233 0.118E+00 0.544E-01 0.310E-01 0.000E+00
     234 0.117E+00 0.549E-01 0.273E-01 0.000E+00
     235 0.118E+00 0.515E-01 0.304E-01 0.000E+00
     236 0.118E+00 0.516E-01 0.276E-01 0.000E+00
     237 0.118E+00 0.489E-01 0.307E-01 0.000E+00
     238 0.117E+00 0.498E-01 0.276E-01 0.000E+00
     239 0.116E+00 0.473E-01 0.309E-01 0.000E+00
     240 0.114E+00 0.478E-01 0.277E-01 0.000E+00
     241 0.112E+00 0.452E-01 0.309E-01 0.000E+00
     242 0.111E+00 0.456E-01 0.276E-01 0.000E+00
     243 0.108E+00 0.428E-01 0.309E-01 0.000E+00
     244 0.106E+00 0.440E-01 0.274E-01 0.000E+00
     245 0.102E+00 0.407E-01 0.309E-01 0.000E+00
